ID;description;status
1;Restaurante;1
2;Barber Shop;1
3;Mini Market;1
4;Gimnasio;1
5;Cancha Futbol;1
6;Panaderia/Pasteleria;1
7;Calzado;1
8;Botica/Farmacia;1
9;Libreria;1
10;Comida Rapida;1
11;Cevicheria;1
12;Bar;1
13;Discoteca;1
14;Licoreria;1
15;Pizzeria;1
16;Polleria;1
17;Anticuchería;1
18;Mecanica;1
19;Sauna;1
20;Frutas y Verduras;1
21;Floreria;1
22;Maceteros y Plantas;1
23;Celulares y accesorios;1
24;Servicio Tecnico electrodomesticos;1
25;Venta electrodomesticos;1
26;Tienda Disfraces;1
27;Venta Laptops;1
28;Ferreteria;1
29;Chifa;1
30;Bazar Ropas;1
31;Otros;1
